SettlementPoint,Year,Month,Mean,Min,Max,SD,Volatility
HB_BUSAVG,2016,01,19.209301075268815,5.12,54.69,5.485210390097426,0.2690841889770597
HB_BUSAVG,2016,02,15.28824712643678,1.79,50.98,5.777172176927241,0.47351877621233457
HB_BUSAVG,2016,03,16.755625841184386,1.22,64.31,7.368496875539136,0.4708081945258509
HB_BUSAVG,2016,04,18.289347222222222,1.18,93.09,9.506142732088003,0.5429421790442241
HB_BUSAVG,2016,05,18.159583333333334,3.03,73.61,8.017220813376364,0.4331826066081896
HB_BUSAVG,2016,06,23.909819444444437,4.02,110.72,11.305436288586217,0.3983444319585168
HB_BUSAVG,2016,07,27.187473118279563,7.61,99.29,12.406065835499753,0.3996632886249878
HB_BUSAVG,2016,08,30.56713709677419,13.39,230.02,27.15155808784459,0.48433842070530864
HB_BUSAVG,2016,09,26.861750000000008,10.89,202.4,14.904298172890451,0.3696292888393294
HB_BUSAVG,2016,10,25.204838709677418,2.92,274.77,16.327119599882366,0.43038038781951915
HB_BUSAVG,2016,11,19.244902777777778,2.3,48.65,6.378151553287985,0.39231264679820527
HB_BUSAVG,2016,12,25.31830645161291,2.72,139.42,11.105303297399226,0.4297915555845942
HB_BUSAVG,2017,01,23.252782258064517,1.94,96.28,7.471612705493782,0.37075988540457183
HB_BUSAVG,2017,02,20.117827380952388,3.56,52.7,6.538278533511913,0.3866745899195994
HB_BUSAVG,2017,03,22.56989232839839,4.92,78.44,7.988595981559292,0.33926832382975103
HB_BUSAVG,2017,04,23.705083333333334,8.37,81.08,7.768482147422761,0.31115469394551115
HB_BUSAVG,2017,05,25.087352150537637,4.66,65.3,7.952691485425809,0.32842918966666823
HB_BUSAVG,2017,06,27.66915277777779,15.22,82.18,11.114801167073598,0.3309573407222942
HB_BUSAVG,2017,07,31.454274193548386,16.64,257.04,17.83884864954591,0.40048487385186327
HB_BUSAVG,2017,08,27.50701612903226,16.62,88.75,10.898581913248774,0.3332314690191363
HB_BUSAVG,2017,09,24.18416666666666,8.38,59.02,7.923659778393276,0.2883373495297985
HB_BUSAVG,2017,10,23.563279569892476,3.07,97.54,10.300630159991831,0.3671794074578086
